run_name,version,cold_split,history_source,train_hist_len,use_synopsis,synopsis_dim,synopsis_normalize,m_hardneg,d,id_dim,id_dropout,tau,logq_alpha,optimizer,epochs,batch_size,train_user_frac,best_step,cold_n_users,cold_n_pairs,cold_recall@10,cold_ndcg@10,cold_hit@10,cold_honly_recall@10,cold_honly_hit@10,cold_recall@50,cold_ndcg@50,cold_hit@50,cold_honly_recall@50,cold_honly_hit@50,cold_recall@100,cold_ndcg@100,cold_hit@100,cold_honly_recall@100,cold_honly_hit@100,cold_recall@200,cold_ndcg@200,cold_hit@200,cold_honly_recall@200,cold_honly_hit@200,cold_recall@500,cold_ndcg@500,cold_hit@500,cold_honly_recall@500,cold_honly_hit@500
v5_alpha05_ep2,v5,val,cache,32,False,48,none,5,128,128,0.1,0.07,0.5,adam,2,8192,,16000,8388,150335,0.0575,0.0976,0.0449,0.1587,0.1101,0.1655,0.1209,0.1498,0.4676,0.3715,0.2533,0.151,0.2406,0.6661,0.5702,0.3794,0.191,0.3693,0.842,0.7881,0.6047,0.2531,0.5952,0.9747,0.9709
v5_beta05_ep2_histembed_iddim128_iddrop015_hl128_uf015_id1,v5,val,embed,128,False,48,none,5,128,128,0.15,0.07,1.0,adam,2,16384,0.15,1238,8388,150335,0.0463,0.097,0.0461,0.1343,0.0987,0.148,0.1121,0.1526,0.4213,0.3588,0.2311,0.1389,0.2402,0.6304,0.5637,0.3428,0.1751,0.3622,0.8114,0.7785,0.5536,0.2339,0.5803,0.9713,0.97
v5_beta1_ep2_histembed_iddim128_iddrop015_hl128_uf015_id1,v5,val,embed,128,False,48,none,5,128,128,0.15,0.07,1.0,adam,2,16384,0.15,1238,8388,150335,0.0533,0.1113,0.0519,0.1359,0.1008,0.164,0.1266,0.1684,0.4222,0.3623,0.2492,0.1543,0.2611,0.6257,0.5629,0.3643,0.1914,0.3868,0.8087,0.7767,0.5732,0.2497,0.6023,0.974,0.972
v5_beta2_ep2_histembed_iddim128_iddrop015_hl128_uf015_id1,v5,val,embed,128,False,48,none,5,128,128,0.15,0.07,1.0,adam,2,16384,0.15,1238,8388,150335,0.0486,0.1011,0.0475,0.1325,0.099,0.1507,0.1149,0.1537,0.421,0.3589,0.2317,0.1414,0.2412,0.6258,0.5603,0.3431,0.1773,0.3626,0.8071,0.7746,0.5515,0.2354,0.5771,0.9694,0.969
v5_bs2048_beta05_ep2_histembed_iddim128_iddrop015_mhn0_hl128_uf015_id1,v5,val,embed,128,False,48,none,0,128,128,0.15,0.07,1.0,adam,2,2048,0.15,9500,8388,150335,0.066,0.1298,0.0594,0.1624,0.1191,0.1797,0.1429,0.1797,0.4887,0.3979,0.2746,0.1733,0.2767,0.6814,0.5946,0.4067,0.2145,0.4093,0.8405,0.801,0.6197,0.2731,0.6218,0.9725,0.972
v5_bs2048_beta05_ep2_histembed_iddim128_iddrop015_mhn10_hl128_uf015_id1,v5,val,embed,128,False,48,none,10,128,128,0.15,0.07,1.0,adam,2,2048,0.15,9500,8388,150335,0.0607,0.1205,0.0571,0.1631,0.1162,0.18,0.1381,0.1818,0.4313,0.3589,0.2656,0.1659,0.2756,0.6246,0.5505,0.3792,0.2021,0.3977,0.816,0.7764,0.5905,0.2597,0.6077,0.9752,0.9758
v5_bs2048_beta05_ep2_histembed_iddim128_iddrop015_mhn20_hl128_uf015_id1,v5,val,embed,128,False,48,none,20,128,128,0.15,0.07,1.0,adam,2,2048,0.15,9500,8388,150335,0.0657,0.132,0.0639,0.1622,0.1177,0.1956,0.1499,0.199,0.4519,0.3729,0.2875,0.1787,0.2952,0.6526,0.5685,0.4008,0.215,0.4196,0.8331,0.7921,0.6203,0.2747,0.6342,0.9742,0.9742
v5_bs2048_beta05_ep2_histembed_iddim128_iddrop015_mhn5_hl128_uf015_id1,v5,val,embed,128,False,48,none,5,128,128,0.15,0.07,1.0,adam,2,2048,0.15,9500,8388,150335,0.0677,0.1303,0.0626,0.1566,0.1129,0.1964,0.1498,0.1982,0.4378,0.3646,0.2876,0.1788,0.2961,0.6371,0.5571,0.4006,0.2149,0.4197,0.8323,0.7873,0.6163,0.2737,0.6327,0.9781,0.9773
v5_bs2048_beta1_ep2_histembed_iddim128_iddrop015_mhn0_hl128_uf015_id1,v5,val,embed,128,False,48,none,0,128,128,0.15,0.07,1.0,adam,2,2048,0.15,9500,8388,150335,0.0581,0.1152,0.0523,0.1566,0.1149,0.1648,0.1283,0.16,0.4813,0.3854,0.2474,0.1555,0.2482,0.6781,0.585,0.3727,0.1946,0.3739,0.8429,0.7957,0.5975,0.2556,0.5944,0.9753,0.9748
v5_bs2048_beta1_ep2_histembed_iddim128_iddrop015_mhn10_hl128_uf015_id1,v5,val,embed,128,False,48,none,10,128,128,0.15,0.07,1.0,adam,2,2048,0.15,9500,8388,150335,0.0712,0.1392,0.0657,0.1645,0.1181,0.2006,0.1564,0.2009,0.4395,0.366,0.2886,0.1844,0.2972,0.6487,0.5668,0.4038,0.2213,0.424,0.8337,0.7917,0.6267,0.2822,0.6435,0.9813,0.9792
