split,method,stage,t,n_users,n_users_liked,n_empty,n_pairs,recall@10,ndcg@10,liked_recall@10,liked_ndcg@10,hitrate@10,recall@50,ndcg@50,liked_recall@50,liked_ndcg@50,hitrate@50,recall@100,ndcg@100,liked_recall@100,liked_ndcg@100,hitrate@100,recall@200,ndcg@200,liked_recall@200,liked_ndcg@200,hitrate@200,recall@500,ndcg@500,liked_recall@500,liked_ndcg@500,hitrate@500
val,z@0.0,two-stage,0.0,14029,12478,736,,0.18762,0.65892,0.31705,0.59131,,0.42132,0.53662,0.61809,0.58295,,0.53096,0.54194,0.72925,0.61753,,0.59087,0.5557,0.78087,0.63602,,,,,,
val,z@0.25,two-stage,0.25,14029,12478,1230,,0.18092,0.64547,0.3085,0.57956,,0.40956,0.52275,0.60519,0.57024,,0.51734,0.52787,0.71554,0.60474,,0.57444,0.54044,0.76605,0.62271,,,,,,
val,full,two-stage,,14029,12478,0,,0.21747,0.72722,0.30484,0.56412,,0.48319,0.60793,0.61265,0.56429,,0.60417,0.61532,0.72167,0.59807,,0.67576,0.63323,0.77347,0.61563,,,,,,
val,z@0.5,two-stage,0.5,14029,12478,1419,,0.17361,0.62739,0.29667,0.56389,,0.39621,0.50612,0.5876,0.55348,,0.5015,0.51098,0.69729,0.58779,,0.55614,0.52255,0.74701,0.60531,,,,,,
val,z@0.75,two-stage,0.75,14029,12478,1846,,0.16523,0.60682,0.28067,0.5442,,0.38012,0.48684,0.56394,0.53208,,0.48292,0.49159,0.6737,0.56641,,0.53432,0.50189,0.7214,0.58313,,,,,,
val,z@1.0,two-stage,1.0,14029,12478,2576,,0.15681,0.5839,0.26211,0.51739,,0.3645,0.46687,0.53804,0.50524,,0.4644,0.47139,0.6471,0.53932,,0.51178,0.48019,0.69154,0.55483,,,,,,
val,z@1.25,two-stage,1.25,14029,12478,3979,,0.1494,0.55997,0.24352,0.48471,,0.3485,0.44634,0.50834,0.47349,,0.44412,0.45019,0.61297,0.50617,,0.48687,0.4572,0.65332,0.52008,,,,,,
val,z@0.0,retriever,0.0,14029,12478,736,,0.14037,0.5057,0.25149,0.46501,,0.3372,0.42337,0.52558,0.48121,,0.45944,0.44731,0.66003,0.52927,,0.59087,0.49762,0.78087,0.5742,,0.75934,0.56849,0.90168,0.61622,
val,z@0.25,retriever,0.25,14029,12478,1230,,0.13346,0.49561,0.24343,0.45879,,0.32389,0.40937,0.51017,0.46894,,0.44296,0.43193,0.64334,0.51602,,0.57444,0.48206,0.76605,0.56143,,0.7459,0.55388,0.89239,0.60511,
val,z@1.5,two-stage,1.5,14029,12478,5679,,0.14529,0.54338,0.22897,0.45687,,0.33753,0.43175,0.48299,0.44713,,0.42883,0.43499,0.58381,0.47844,,0.46764,0.44042,0.61984,0.49068,,,,,,
val,z@0.5,retriever,0.5,14029,12478,1419,,0.12583,0.48002,0.23064,0.44639,,0.30839,0.3923,0.48703,0.45085,,0.42438,0.41387,0.62027,0.49764,,0.55614,0.464,0.74701,0.54396,,0.73021,0.53658,0.87977,0.58953,
val,z@0.75,retriever,0.75,14029,12478,1846,,0.11734,0.46068,0.2141,0.42818,,0.29008,0.37192,0.45811,0.42675,,0.40307,0.39269,0.59067,0.47282,,0.53432,0.4427,0.7214,0.52027,,0.71154,0.51617,0.86404,0.56831,
val,z@1.0,retriever,1.0,14029,12478,2576,,0.10753,0.43516,0.19382,0.39958,,0.27172,0.34881,0.42603,0.39528,,0.38225,0.36953,0.55751,0.44083,,0.51178,0.419,0.69154,0.48909,,0.69091,0.49292,0.84192,0.53923,
val,full,retriever,,14029,12478,0,,0.16781,0.5343,0.23039,0.38941,,0.403,0.48372,0.51034,0.43724,,0.53882,0.51518,0.64909,0.48874,,0.67576,0.56915,0.77347,0.53587,,0.83385,0.63718,0.89707,0.5795,
val,z@1.25,retriever,1.25,14029,12478,3979,,0.09778,0.4051,0.1705,0.36146,,0.25232,0.32401,0.38902,0.35752,,0.35988,0.34481,0.51829,0.40211,,0.48687,0.39339,0.65332,0.4505,,0.66705,0.46758,0.81269,0.50313,
val,z@1.5,retriever,1.5,14029,12478,5679,,0.09128,0.37911,0.15186,0.32607,,0.23879,0.30418,0.35777,0.32415,,0.34304,0.32525,0.48371,0.36761,,0.46764,0.37301,0.61984,0.4161,,0.64694,0.44684,0.78597,0.47056,
val,malsort,retriever,,14029,12478,0,,0.04223,0.19165,0.07852,0.17116,,0.17051,0.19415,0.28647,0.21805,,0.29734,0.23823,0.46242,0.28431,,0.50051,0.32464,0.68644,0.36571,,0.83385,0.46346,0.89707,0.43579,
val_cold,z@0.0,retriever,0.0,8388,6361,451,150335,0.05891,0.11248,0.09185,0.09496,0.05736,0.20314,0.1412,0.28597,0.15378,0.1926,0.30392,0.17317,0.40623,0.18817,0.28905,0.43814,0.21306,0.54506,0.22081,0.4088,0.61622,0.26201,0.70977,0.25469,0.59009
val_cold,full,retriever,,8388,6361,10,150335,0.07104,0.13975,0.09236,0.09203,0.07207,0.22865,0.16792,0.286,0.1528,0.23573,0.33734,0.20181,0.40741,0.18733,0.34609,0.46637,0.24107,0.53856,0.21864,0.47101,0.64651,0.28984,0.70143,0.2519,0.64785
val_cold,z@0.25,retriever,0.25,8388,6361,746,150335,0.05623,0.10506,0.08924,0.09065,0.0535,0.19833,0.1353,0.28176,0.14947,0.1835,0.2974,0.16684,0.40089,0.1834,0.27741,0.43098,0.20667,0.53892,0.21604,0.39593,0.61041,0.25582,0.70618,0.2504,0.57732
val_cold,z@0.5,retriever,0.5,8388,6361,855,150335,0.05333,0.09803,0.08678,0.08728,0.04979,0.19355,0.12962,0.27529,0.1447,0.1753,0.29192,0.16086,0.39389,0.17832,0.26646,0.42406,0.20019,0.53163,0.21098,0.38241,0.60433,0.24967,0.70255,0.2462,0.56461
val_cold,z@0.75,retriever,0.75,8388,6361,1066,150335,0.04989,0.08981,0.08343,0.08253,0.04607,0.1857,0.12213,0.26725,0.13824,0.16622,0.28348,0.1532,0.38566,0.17165,0.25474,0.41725,0.19281,0.52688,0.20512,0.36999,0.59485,0.24183,0.6961,0.24029,0.55138
val_cold,z@1.0,retriever,1.0,8388,6361,1450,150335,0.04517,0.08095,0.07535,0.0741,0.04205,0.17291,0.11282,0.25165,0.12817,0.15616,0.27299,0.14428,0.37189,0.16166,0.24303,0.40795,0.18399,0.51506,0.19554,0.35711,0.58513,0.23292,0.68511,0.23104,0.53788
val_cold,z@1.25,retriever,1.25,8388,6361,2216,150335,0.03858,0.06905,0.06557,0.06362,0.0368,0.16005,0.10179,0.23327,0.11597,0.14446,0.25891,0.13332,0.35561,0.14993,0.23005,0.39705,0.17362,0.50165,0.18428,0.34375,0.5704,0.22169,0.66856,0.21945,0.52186
val_cold,z@1.5,retriever,1.5,8388,6361,3122,150335,0.03246,0.05821,0.05482,0.05341,0.03172,0.14703,0.09136,0.21254,0.10352,0.13288,0.24459,0.12257,0.33325,0.13705,0.21646,0.384,0.16325,0.4824,0.17212,0.33044,0.55523,0.21083,0.6513,0.20765,0.5066
val_cold,z@0.0,two-stage,0.0,8388,6361,451,150335,6e-05,0.00013,0.00013,0.00013,9e-05,0.00094,0.00056,0.00119,0.00057,0.00134,0.00772,0.0037,0.01077,0.00397,0.01317,0.43814,0.13548,0.54506,0.13183,0.4088,,,,,
val_cold,z@0.25,two-stage,0.25,8388,6361,746,150335,5e-05,0.00012,0.00011,0.00011,8e-05,0.00077,0.00051,0.00132,0.00059,0.00126,0.00697,0.00336,0.01036,0.00378,0.0117,0.43098,0.13251,0.53892,0.12982,0.39593,,,,,
val_cold,z@0.5,two-stage,0.5,8388,6361,855,150335,6e-05,0.00012,0.00012,0.00011,9e-05,0.00077,0.00051,0.00117,0.00054,0.00126,0.00678,0.00319,0.00972,0.00353,0.01082,0.42406,0.12941,0.53163,0.12755,0.38241,,,,,
val_cold,full,two-stage,,8388,6361,10,150335,8e-05,0.00016,0.00011,9e-05,0.00011,0.00078,0.00062,0.00084,0.00041,0.00168,0.00867,0.00487,0.0112,0.00427,0.02183,0.46637,0.14887,0.53856,0.13089,0.47101,,,,,
val_cold,z@0.75,two-stage,0.75,8388,6361,1066,150335,5e-05,0.00011,0.0001,7e-05,7e-05,0.00069,0.00045,0.00108,0.00048,0.0011,0.00642,0.00297,0.00933,0.00332,0.00982,0.41725,0.12652,0.52688,0.1259,0.36999,,,,,
val_cold,z@1.0,two-stage,1.0,8388,6361,1450,150335,4e-05,0.0001,0.0001,7e-05,7e-05,0.00056,0.00039,0.00087,0.0004,0.00101,0.00617,0.0028,0.00875,0.00312,0.00923,0.40795,0.12298,0.51506,0.12273,0.35711,,,,,
val_cold,z@1.25,two-stage,1.25,8388,6361,2216,150335,2e-05,6e-05,3e-05,4e-05,4e-05,0.00047,0.00032,0.00058,0.0003,0.00086,0.00556,0.00252,0.00789,0.00283,0.00834,0.39705,0.1192,0.50165,0.11898,0.34375,,,,,
val_cold,z@1.5,two-stage,1.5,8388,6361,3122,150335,2e-05,6e-05,3e-05,4e-05,4e-05,0.00045,0.00032,0.00056,0.00031,0.00084,0.00496,0.00222,0.00679,0.00243,0.00735,0.384,0.11493,0.4824,0.11438,0.33044,,,,,
val_cold,malsort,retriever,,8388,6361,10,150335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.00011,0.00019,7e-05,0.00047,0.64651,0.17167,0.70143,0.14162,0.64785
