run_name,version,time,d,tau,beta,lr,cosine_lr,weight_decay,batch_size,epochs,hist_dropout,m_hardneg,use_item_id,id_dim,id_dropout,score_pool,history_pool,history_source,train_hist_len,logq_alpha,max_examples_per_user,eval_history_cap,best_step,secs,val_recall@10,val_ndcg@10,val_recall@50,val_ndcg@50,val_recall@100,val_ndcg@100,val_recall@200,val_ndcg@200,val_recall@500,val_ndcg@500,test_recall@10,test_ndcg@10,test_recall@50,test_ndcg@50,test_recall@100,test_ndcg@100,test_recall@200,test_ndcg@200,test_recall@500,test_ndcg@500,optimizer,use_synopsis,synopsis_dim,synopsis_normalize,train_user_frac,subset_seed
v5_alpha05_ep2,v5,2026-06-10 16:48,128,0.07,1.0,0.001,False,0.0,8192,2,0.12,5,True,128,0.1,none,mean,cache,32,0.5,,1024,16000,1420.0,0.12,0.3498,0.3281,0.3481,0.4595,0.3915,0.6033,0.4537,0.7839,0.533,0.1201,0.3446,0.3281,0.345,0.4601,0.3886,0.6053,0.451,0.7856,0.53,,,,,,
v5_beta05_ep2_histembed_iddim128_iddrop015_hl128_uf015_id1,v5,2026-06-16 03:35,128,0.07,0.5,0.001,False,0.0,16384,2,0.12,5,True,128,0.15,none,mean,embed,128,1.0,,1024,1238,62.0,0.1471,0.5104,0.3636,0.4392,0.4882,0.463,0.6203,0.5138,0.7827,0.5826,0.146,0.5057,0.3638,0.4365,0.488,0.4596,0.6204,0.5102,0.7841,0.5793,adam,False,48.0,none,0.15,12345.0
v5_beta1_ep2_histembed_iddim128_iddrop015_hl128_uf015_id1,v5,2026-06-16 03:36,128,0.07,1.0,0.001,False,0.0,16384,2,0.12,5,True,128,0.15,none,mean,embed,128,1.0,,1024,1238,62.0,0.1471,0.5118,0.3639,0.4399,0.4886,0.4635,0.6206,0.5143,0.7829,0.5831,0.1462,0.5077,0.3644,0.4375,0.4887,0.4604,0.6211,0.5109,0.7847,0.58,adam,False,48.0,none,0.15,12345.0
v5_beta2_ep2_histembed_iddim128_iddrop015_hl128_uf015_id1,v5,2026-06-16 03:37,128,0.07,2.0,0.001,False,0.0,16384,2,0.12,5,True,128,0.15,none,mean,embed,128,1.0,,1024,1238,62.0,0.1471,0.51,0.3641,0.4396,0.4887,0.4633,0.6208,0.5142,0.7831,0.5829,0.146,0.5054,0.3642,0.4367,0.4884,0.4598,0.621,0.5104,0.7846,0.5795,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta05_ep2_histembed_iddim128_iddrop015_mhn0_hl128_uf015_id1,v5,2026-06-16 08:27,128,0.07,0.5,0.001,False,0.0,2048,2,0.12,0,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,68.0,0.1534,0.5141,0.3806,0.4519,0.5082,0.4781,0.6422,0.5304,0.8041,0.5996,0.1529,0.51,0.3815,0.4505,0.5087,0.476,0.6426,0.528,0.8056,0.5976,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta05_ep2_histembed_iddim128_iddrop015_mhn10_hl128_uf015_id1,v5,2026-06-16 08:31,128,0.07,0.5,0.001,False,0.0,2048,2,0.12,10,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,89.0,0.1529,0.5081,0.3794,0.4492,0.5068,0.4759,0.6409,0.5285,0.8025,0.5978,0.1523,0.5046,0.3804,0.4475,0.5081,0.4739,0.6413,0.526,0.8045,0.5956,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta05_ep2_histembed_iddim128_iddrop015_mhn20_hl128_uf015_id1,v5,2026-06-16 08:32,128,0.07,0.5,0.001,False,0.0,2048,2,0.12,20,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,99.0,0.1524,0.5076,0.3787,0.4486,0.5065,0.4755,0.6404,0.5281,0.8028,0.5977,0.1511,0.5032,0.3794,0.4463,0.5074,0.4727,0.6412,0.525,0.8048,0.5948,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta05_ep2_histembed_iddim128_iddrop015_mhn5_hl128_uf015_id1,v5,2026-06-16 08:29,128,0.07,0.5,0.001,False,0.0,2048,2,0.12,5,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,84.0,0.1518,0.5055,0.3781,0.4476,0.5058,0.4744,0.6395,0.5269,0.8022,0.5966,0.1512,0.5023,0.3788,0.4454,0.5064,0.4718,0.6407,0.5243,0.804,0.594,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta1_ep2_histembed_iddim128_iddrop015_mhn0_hl128_uf015_id1,v5,2026-06-16 08:33,128,0.07,1.0,0.001,False,0.0,2048,2,0.12,0,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,67.0,0.1524,0.5118,0.3789,0.4498,0.5077,0.4765,0.6413,0.5289,0.8036,0.5983,0.1519,0.5085,0.3806,0.4487,0.5079,0.4744,0.642,0.5266,0.806,0.5964,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta1_ep2_histembed_iddim128_iddrop015_mhn10_hl128_uf015_id1,v5,2026-06-16 08:36,128,0.07,1.0,0.001,False,0.0,2048,2,0.12,10,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,87.0,0.1522,0.5061,0.3776,0.4468,0.5053,0.4737,0.6397,0.5267,0.8024,0.5966,0.1513,0.501,0.3788,0.4445,0.5069,0.4713,0.6404,0.5237,0.8044,0.5936,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta1_ep2_histembed_iddim128_iddrop015_mhn20_hl128_uf015_id1,v5,2026-06-16 08:38,128,0.07,1.0,0.001,False,0.0,2048,2,0.12,20,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,97.0,0.1516,0.5032,0.3777,0.4463,0.5058,0.4735,0.6396,0.5262,0.8022,0.5958,0.151,0.499,0.379,0.4443,0.5068,0.4709,0.6401,0.5232,0.8037,0.593,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta1_ep2_histembed_iddim128_iddrop015_mhn5_hl128_uf015_id1,v5,2026-06-16 08:35,128,0.07,1.0,0.001,False,0.0,2048,2,0.12,5,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,83.0,0.1528,0.5061,0.379,0.4482,0.5061,0.4748,0.6405,0.5276,0.8026,0.5972,0.1522,0.503,0.3794,0.4461,0.5073,0.4727,0.6413,0.5251,0.8041,0.5946,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta2_ep2_histembed_iddim128_iddrop015_mhn0_hl128_uf015_id1,v5,2026-06-16 08:39,128,0.07,2.0,0.001,False,0.0,2048,2,0.12,0,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,67.0,0.1531,0.5164,0.3802,0.4527,0.5088,0.479,0.6421,0.5312,0.8038,0.6003,0.1527,0.5119,0.3813,0.4508,0.5091,0.4762,0.6432,0.5282,0.8056,0.5975,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta2_ep2_histembed_iddim128_iddrop015_mhn10_hl128_uf015_id1,v5,2026-06-16 08:42,128,0.07,2.0,0.001,False,0.0,2048,2,0.12,10,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,88.0,0.1527,0.5091,0.3789,0.4489,0.5067,0.4758,0.6408,0.5285,0.8031,0.598,0.1518,0.5044,0.3803,0.4468,0.5089,0.4735,0.642,0.5256,0.8049,0.595,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta2_ep2_histembed_iddim128_iddrop015_mhn20_hl128_uf015_id1,v5,2026-06-16 08:44,128,0.07,2.0,0.001,False,0.0,2048,2,0.12,20,True,128,0.15,none,mean,embed,128,1.0,,1024,9500,100.0,0.152,0.5067,0.3775,0.4475,0.5052,0.4745,0.6399,0.5275,0.8028,0.5973,0.1512,0.5024,0.3789,0.4452,0.5065,0.4718,0.6402,0.5243,0.8039,0.5941,adam,False,48.0,none,0.15,12345.0
v5_bs2048_beta2_ep2_histembed_iddim128_iddrop015_mhn5_hl128_uf015_id1,v5,2026-06-16 08:41,128,0.07,2.0,0.001,False,0.0,2048,2,0.12,5,True,128,0.15,none,mean,embed,128,1.0,,1024,9000,84.0,0.1512,0.5088,0.3771,0.4475,0.5046,0.4741,0.6387,0.5266,0.7998,0.5957,0.1503,0.5037,0.3776,0.4452,0.5067,0.472,0.6393,0.5236,0.8027,0.5932,adam,False,48.0,none,0.15,12345.0
v5_bs512_beta05_ep2_histembed_iddim128_iddrop015_mhn0_hl128_uf015_id1,v5,2026-06-16 07:53,128,0.07,0.5,0.001,False,0.0,512,2,0.12,0,True,128,0.15,none,mean,embed,128,1.0,,1024,38500,221.0,0.1552,0.5163,0.3871,0.4575,0.5159,0.4839,0.6502,0.5363,0.8105,0.605,0.1553,0.5131,0.3864,0.4557,0.5167,0.482,0.6516,0.5343,0.8127,0.6032,adam,False,48.0,none,0.15,12345.0
v5_bs512_beta05_ep2_histembed_iddim128_iddrop015_mhn10_hl128_uf015_id1,v5,2026-06-16 08:02,128,0.07,0.5,0.001,False,0.0,512,2,0.12,10,True,128,0.15,none,mean,embed,128,1.0,,1024,39000,257.0,0.1559,0.5097,0.3859,0.4541,0.5146,0.4822,0.6479,0.5351,0.8091,0.6042,0.1553,0.5066,0.3863,0.4529,0.5156,0.4805,0.6495,0.5331,0.8119,0.6026,adam,False,48.0,none,0.15,12345.0
v5_bs512_beta05_ep2_histembed_iddim128_iddrop015_mhn20_hl128_uf015_id1,v5,2026-06-16 08:06,128,0.07,0.5,0.001,False,0.0,512,2,0.12,20,True,128,0.15,none,mean,embed,128,1.0,,1024,39000,256.0,0.1554,0.5096,0.3849,0.4539,0.5143,0.4822,0.6476,0.5349,0.8093,0.6044,0.1555,0.5075,0.3857,0.4529,0.515,0.4802,0.6489,0.5326,0.8113,0.6023,adam,False,48.0,none,0.15,12345.0
v5_bs512_beta05_ep2_histembed_iddim128_iddrop015_mhn5_hl128_uf015_id1,v5,2026-06-16 07:58,128,0.07,0.5,0.001,False,0.0,512,2,0.12,5,True,128,0.15,none,mean,embed,128,1.0,,1024,39000,240.0,0.1554,0.5066,0.3866,0.4543,0.5155,0.4825,0.6482,0.535,0.8093,0.6042,0.1557,0.5056,0.3869,0.4535,0.5165,0.4809,0.6494,0.5331,0.8117,0.6026,adam,False,48.0,none,0.15,12345.0
